filename,group,move_id,frames,frames_core,frames_ankles,ankle_gated,hipA_px,hipA_within_std,hipB_px,hipC_torso,hipD_px,hipD_torso,hipB_peak_px,hipC_peak_torso,hipD_peak_px,hipD_peak_torso,torso_px
sf1-1.MOV,static-fixed,pos1,779,779,482,False,836.6621017456055,39.57236085137285,21.291704177856445,0.1023964348760977,-26.33789825439453,-0.12564950998828311,370.47825622558594,1.2345585081096544,-22.423337936401367,-0.10697442129955866,209.6140148644476
sf1-2.MOV,static-fixed,pos1,793,793,726,False,869.7367286682129,62.8556677594261,49.326210021972656,0.22976004774872594,5.736728668212891,0.026388228271549605,394.8544406890869,1.2675709573315022,13.225090026855467,0.06083374597689884,217.3972655222908
sf1-3.MOV,static-fixed,pos1,773,773,745,False,860.1937866210938,67.49312577602765,50.958709716796875,0.2318436620006129,-5.80621337890625,-0.025912094703634602,401.6055450439453,1.2948616438317584,5.564247131347656,0.02483224249830582,224.07348557937433
sr1-1.MOV,static-reset,pos1,688,688,655,False,810.0601100921631,57.70012247066984,52.58995056152344,0.24739736037336002,9.060110092163086,0.041698889102189156,320.3994998931885,1.1333711771726167,15.532347679138184,0.0714871714339616,217.27461539706673
sr1-2.MOV,static-reset,pos1,536,536,532,False,819.9130725860596,56.089998798943185,48.040008544921875,0.2175352071484551,6.91307258605957,0.031291960557947016,376.18115615844727,1.2890235841908622,9.747688293457031,0.04412282292899838,220.92168284751023
sr1-3.MOV,static-reset,pos1,527,527,527,False,765.996150970459,42.03495337547169,46.68474197387695,0.2079609454933672,-4.003849029541016,-0.017887391858162252,214.11547279357887,0.7436505737624252,-2.088743209838867,-0.009331562706235825,223.8363793497377
sf2-1.MOV,static-fixed,pos2,560,560,9,True,703.8817977905273,15.670112469746384,,,-51.118202209472656,-0.21159842718196314,,,-31.634132385253906,-0.13094616728804526,241.58120119443885
sf2-2.MOV,static-fixed,pos2,684,684,70,True,697.1926975250244,21.808253858098027,,,-63.807302474975586,-0.26006322023253925,,,-36.86645698547363,-0.15025881286811651,245.35304307130156
sf2-3.MOV,static-fixed,pos2,642,642,73,True,713.1689357757568,20.638362469468717,,,-41.831064224243164,-0.17006026113113745,,,-20.88668823242188,-0.08491286848283827,245.97789010794384
sf3-1.MOV,static-fixed,pos3,516,516,110,True,795.3666973114014,52.58760173029973,,,38.36669731140137,0.24878609150256145,,,44.170053482055664,0.28641753753441224,154.2156037730363
sf3-2.MOV,static-fixed,pos3,576,576,164,True,797.3642921447754,50.09598131028738,,,40.36429214477539,0.24729146429979784,,,49.98378086090088,0.3062251733784534,163.22557779770642
sf3-3.MOV,static-fixed,pos3,548,548,96,True,823.9155578613281,54.07912479289782,,,68.91555786132812,0.45282029365242554,,,72.29915809631348,0.4750527604502929,152.191849233299
m1-1.MOV,movement,move1,203,203,203,False,1369.646987915039,149.8152294533927,97.6376724243164,0.21584801042668075,132.64698791503906,0.2884452764044215,433.17263031005837,0.7757376277859452,422.60328674316406,0.9189648688602343,459.8688166037367
m1-2.MOV,movement,move1,228,228,107,True,1350.7525062561035,158.91946540987252,,,113.75250625610352,0.21666626655202764,,,432.5350532531738,0.8238566184225872,525.0125368675624
m1-3.MOV,movement,move1,142,142,110,False,1435.0312042236328,154.80111075285632,62.31588363647461,0.16606201653921915,190.0312042236328,0.401178591117243,759.4547538757323,1.2036991562969899,443.90242767333984,0.9371310951539363,473.6823161336066
m2-1.MOV,movement,move2,244,244,24,True,1354.7529029846191,202.6146106927061,,,-82.24709701538086,-0.19755193111076613,,,291.5606517791748,0.7003088483976312,416.3315263633916
m2-2.MOV,movement,move2,292,292,38,True,1316.1943244934082,193.8566937472672,,,-116.8056755065918,-0.28296206172092303,,,268.0947341918945,0.6494602115389521,412.7962412918581
m2-3.MOV,movement,move2,204,204,26,True,1318.3101654052734,213.01413100357215,,,-121.68983459472656,-0.28914245376640735,,,293.49226570129395,0.6973554869965447,420.86463959055095
m3-1.MOV,movement,move3,208,208,208,False,1468.234920501709,118.93608315993013,-32.44540214538574,-0.05946836798140129,39.234920501708984,0.08073652507282914,833.8774909973145,1.2969464140369735,236.28566741943357,0.4862220559648724,485.96246204944737
m3-2.MOV,movement,move3,216,216,214,False,1454.8107147216797,107.87579814757997,-96.5427303314209,-0.18729001881803517,25.810714721679688,0.05252638457793969,859.0619258880615,1.2719202397940028,217.2031364440918,0.4420216797334241,491.38570889799655
m3-3.MOV,movement,move3,156,156,156,False,1498.9302062988281,92.07206104240215,-78.9408016204834,-0.15068138586831528,58.930206298828125,0.12423320426721449,792.2447490692139,1.2361712240160303,210.73064804077148,0.4442499914332092,474.35149601449973
m4-1.MOV,movement,move4,196,196,158,False,1552.2573852539062,108.81802417466308,98.52527618408203,0.21086259095904414,204.25738525390625,0.39221713826934557,544.3650913238529,0.9982122994088987,311.3372631072998,0.5978330243519072,520.7762877348757
m4-2.MOV,movement,move4,247,247,232,False,1484.809799194336,139.83074231886866,166.76799774169922,0.3119607303178424,140.80979919433594,0.2712711731366298,897.2082595825195,1.3849805151467842,322.6392402648926,0.6215670053316074,519.0739493850125
m4-3.MOV,movement,move4,161,161,160,False,1585.4762649536133,106.65068291879044,99.87813949584961,0.21244095646328687,244.47626495361328,0.47592549161732334,642.9248657226558,1.098052542375699,330.9493103027344,0.6442638234682138,513.6860060233734
m5-1.MOV,movement,move5,217,217,0,True,1427.8998184204102,96.10355691564804,,,-12.100181579589844,-0.027775725125110073,,,141.48664855957028,0.324779775692993,435.63872860517773
m5-2.MOV,movement,move5,236,236,0,True,1372.2463989257812,94.38793969463013,,,-67.75360107421875,-0.15887951497003105,,,121.61044120788574,0.2851716751296404,426.44642443048053
m5-3.MOV,movement,move5,204,204,13,True,1363.2003593444824,84.17143273014321,,,-76.79964065551758,-0.1719630455493628,,,124.71047973632812,0.2792408105602294,446.6054925357314
m6-1.MOV,movement,move6,429,429,154,True,1367.8775024414062,82.10134139947075,,,-69.12249755859375,-0.14326929601909924,,,163.63893127441406,0.33917227115715387,482.46553503954556
m6-2.MOV,movement,move6,168,168,123,False,1409.0118026733398,96.6695082868981,91.61258697509766,0.17610574268427098,-23.988197326660156,-0.05145818190857025,864.7292175292966,1.3186531907521821,168.2558536529541,0.36093334595146703,466.1687692208374
m6-3.MOV,movement,move6,201,201,155,False,1381.8434143066406,98.37825434473271,134.42035675048828,0.2761109046210228,-39.156585693359375,-0.08480632312912716,839.9591445922849,1.322723984414776,192.75415802001953,0.4174718280480948,461.7177617020263
