take_a,take_b,class,method,eval_point,dx,dy,d
sf1-1.MOV,sf1-2.MOV,same-setup,translation-1pt,hold_top,-2.0,1.0,2.23606797749979
sf1-1.MOV,sf1-2.MOV,same-setup,translation-1pt,hold_near,2.0,-1.0,2.23606797749979
sf1-1.MOV,sf1-2.MOV,same-setup,auto-similarity,hold_near,3.9335007069055337,0.9567631882810019,4.048187694472177
sf1-1.MOV,sf1-2.MOV,same-setup,auto-similarity,hold_top,1.98844154793818,1.7573091199221267,2.6536833142875706
sf1-1.MOV,sf1-2.MOV,same-setup,auto-homography,hold_near,3.8818359375,0.9193115234375,3.989208459854126
sf1-1.MOV,sf1-2.MOV,same-setup,auto-homography,hold_top,1.95654296875,1.830963134765625,2.679642915725708
sf1-1.MOV,sf1-3.MOV,same-setup,translation-1pt,hold_top,-6.0,-1.0,6.082762530298219
sf1-1.MOV,sf1-3.MOV,same-setup,translation-1pt,hold_near,6.0,1.0,6.082762530298219
sf1-1.MOV,sf1-3.MOV,same-setup,auto-similarity,hold_near,9.5280931388088,2.850979390672819,9.945483515036184
sf1-1.MOV,sf1-3.MOV,same-setup,auto-similarity,hold_top,3.7681503475291436,1.692454647381794,4.1307819810573685
sf1-1.MOV,sf1-3.MOV,same-setup,auto-homography,hold_near,9.319732666015625,2.8582763671875,9.748188018798828
sf1-1.MOV,sf1-3.MOV,same-setup,auto-homography,hold_top,3.5321044921875,1.888427734375,4.005236625671387
sf1-1.MOV,sr1-1.MOV,re-set,translation-1pt,hold_top,-15.0,-2.0,15.132745950421556
sf1-1.MOV,sr1-1.MOV,re-set,translation-1pt,hold_near,15.0,2.0,15.132745950421556
sf1-1.MOV,sr1-1.MOV,re-set,auto-similarity,hold_near,12.925636712835626,-5.629807114753703,14.098468448081004
sf1-1.MOV,sr1-1.MOV,re-set,auto-similarity,hold_top,-0.2132068154601825,-0.311933794618767,0.3778357293638804
sf1-1.MOV,sr1-1.MOV,re-set,auto-homography,hold_near,8.950897216796875,-3.9404296875,9.779853820800781
